Word,Valence,Extremity,Emotionality
awesome,8.57,4.07,6.34
awesomeness,8.46,3.96,6.72
best,8.45,3.95,4.07
peace,8.44,3.94,3.78
magnificent,8.44,3.94,5
beautiful,8.41,3.91,5.81
brilliant,8.4,3.9,3.83
extraordinary,8.36,3.86,5.41
miraculous,8.36,3.86,3.72
adore,8.34,3.84,6.48
delicious,8.31,3.81,4.7
beloved,8.28,3.78,6.59
deliciously,8.28,3.78,4.63
love,8.27,3.77,8.03
flawless,8.24,3.74,3.05
healthy,8.22,3.72,2.38
perfect,8.21,3.71,3.91
elated,8.2,3.7,7.11
angelic,8.2,3.7,5.52
happiest,8.16,3.66,6.33
fantastic,8.16,3.66,5.85
magnificently,8.16,3.66,5.19
excellent,8.16,3.66,4.44
superb,8.16,3.66,3.95
joyful,8.15,3.65,6.29
wonderful,8.14,3.64,5.81
heartwarming,8.13,3.63,6.93
excellence,8.13,3.63,4.63
loved,8.12,3.62,8.26
pleasurable,8.12,3.62,5.86
adored,8.12,3.62,5.41
talented,8.12,3.62,2.1
inspiring,8.11,3.61,6.03
beautifully,8.11,3.61,5.9
bravery,8.08,3.58,5.52
appreciated,8.08,3.58,5.28
greatest,8.07,3.57,4.72
creative,8.07,3.57,4.7
enjoy,8.07,3.57,6
celebrate,8.07,3.57,5.43
finest,8.04,3.54,3.05
exemplary,8.04,3.54,4.66
orgasmic,8.04,3.54,7.17
celebrating,8.03,3.53,5.3
outstanding,8.03,3.53,4.79
happily,8,3.5,7.07
lovable,8,3.5,6.33
delights,8,3.5,6.31
fantastically,8,3.5,5.24
brilliantly,8,3.5,5
awesomely,8,3.5,4.9
hero,8,3.5,3.65
intelligent,8,3.5,2.93
cheery,7.97,3.47,6.88
handsome,7.97,3.47,3.96
amazing,7.97,3.47,6.6
perfection,7.97,3.47,4.27
genuine,7.97,3.47,4.96
blessing,7.97,3.47,4.26
delightfully,7.96,3.46,5.89
heartfelt,7.93,3.43,7.07
delight,7.93,3.43,6.7
remarkable,7.93,3.43,4.15
delightful,7.93,3.43,7.1
cheerful,7.93,3.43,6.85
amazingly,7.93,3.43,5.26
loves,7.92,3.42,7.84
loveable,7.92,3.42,5.93
enjoyment,7.92,3.42,5.87
enchanted,7.92,3.42,4.83
lovely,7.92,3.42,4.69
gifted,7.92,3.42,1.79
wonderfully,7.91,3.41,4.77
wondrous,7.9,3.4,5.56
divine,7.9,3.4,5.35
exceptional,7.9,3.4,4.6
majestic,7.9,3.4,5.8
happy,7.89,3.39,7.41
uplifting,7.89,3.39,5.62
loving,7.88,3.38,8
caring,7.88,3.38,7.42
cherished,7.88,3.38,6.68
courageous,7.88,3.38,5.84
inspirational,7.88,3.38,5.74
friendly,7.88,3.38,4.86
pleasurably,7.88,3.38,5.58
topnotch,7.88,3.38,3.12
joy,7.87,3.37,7.47
heavenly,7.87,3.37,4.9
nicest,7.87,3.37,4.97
phenomenal,7.86,3.36,5.93
delighted,7.85,3.35,6.18
fabulously,7.85,3.35,5.11
friendliness,7.85,3.35,4.42
innovative,7.85,3.35,2.89
healthier,7.84,3.34,3.12
peaceful,7.84,3.34,4.97
gracious,7.84,3.34,4.59
inspiration,7.84,3.34,4.31
excellently,7.84,3.34,4.1
perfectly,7.84,3.34,3.16
excels,7.84,3.34,2.07
fun,7.84,3.34,5.63
appreciation,7.83,3.33,5.57
fantabulous,7.83,3.33,5.67
spectacular,7.82,3.32,5.69
welcomed,7.81,3.31,4.05
very good,7.81,3.31,3.43
happier,7.81,3.31,6.77
terrific,7.81,3.31,6.07
gorgeous,7.81,3.31,4.73
admired,7.8,3.3,6.45
