Token,Uid,Link
LouisvilleMag,11263532,https://twitter.com/LouisvilleMag
WindyCityTimes,30284449,https://twitter.com/WindyCityTimes
BlkMtnNews,3053471913,https://twitter.com/BlkMtnNews
NewYorker,14677919,https://twitter.com/NewYorker
KyKernel,41463945,https://twitter.com/KyKernel
MacombChronicle,581205711,https://twitter.com/MacombChronicle
thecharpost,34055841,https://twitter.com/thecharpost
LakePlacidNews,58806088,https://twitter.com/LakePlacidNews
DailyFreeman,97030466,https://twitter.com/DailyFreeman
stargazette,14836971,https://twitter.com/stargazette
ABCPolitics,16815644,https://twitter.com/ABCPolitics
AJEnglish,4970411,https://twitter.com/AJEnglish
AP,51241574,https://twitter.com/AP
APEntertainment,833612154,https://twitter.com/APEntertainment
AP_Politics,426802833,https://twitter.com/AP_Politics
AllAfricafrench,16683704,https://twitter.com/AllAfricafrench
BBCAfrica,36670025,https://twitter.com/BBCAfrica
BBCNews,612473,https://twitter.com/BBCNews
BBCPolitics,621533,https://twitter.com/BBCPolitics
BBCScienceNews,621573,https://twitter.com/BBCScienceNews
BBCTech,621583,https://twitter.com/BBCTech
CBSNews,15012486,https://twitter.com/CBSNews
EnquirerJournal,74479578,https://twitter.com/EnquirerJournal
CNET,30261067,https://twitter.com/CNET
CNN,759251,https://twitter.com/CNN
CNNent,110458336,https://twitter.com/CNNent
EW,16312576,https://twitter.com/EW
OnTheMoneyCBC,115505144,https://twitter.com/OnTheMoneyCBC
FoxNews,1367531,https://twitter.com/FoxNews
HuffPostRelig,117189136,https://twitter.com/HuffPostRelig
Independent,16973333,https://twitter.com/Independent
MSNBC,2836421,https://twitter.com/MSNBC
MSNBC_Politics,380075338,https://twitter.com/MSNBC_Politics
NBCNightlyNews,8839632,https://twitter.com/NBCNightlyNews
NBCPolitics,11856032,https://twitter.com/NBCPolitics
NYTHealth,1769551,https://twitter.com/NYTHealth
Politonline,62252550,https://twitter.com/Politonline
PravdaRu,34209920,https://twitter.com/PravdaRu
RT_com,64643056,https://twitter.com/RT_com
Reuters,1652541,https://twitter.com/Reuters
ReutersScience,15110431,https://twitter.com/ReutersScience
SpecialReport,122207745,https://twitter.com/SpecialReport
TheEconomist,5988062,https://twitter.com/TheEconomist
UPI,16666806,https://twitter.com/UPI
WIREDScience,8963722,https://twitter.com/WIREDScience
WSJ,3108351,https://twitter.com/WSJ
ajplus,110396781,https://twitter.com/ajplus
allafrica,16683014,https://twitter.com/allafrica
arstechnica,717313,https://twitter.com/arstechnica
bbchealth,621543,https://twitter.com/bbchealth
clevelanddotcom,14267944,https://twitter.com/clevelanddotcom
enews,2883841,https://twitter.com/enews
guardian,87818409,https://twitter.com/guardian
guardianscience,21581503,https://twitter.com/guardianscience
guardiansport,19391871,https://twitter.com/guardiansport
guardiantech,7905122,https://twitter.com/guardiantech
latimes,16664681,https://twitter.com/latimes
latimesent,10222202,https://twitter.com/latimesent
ndtv,37034483,https://twitter.com/ndtv
nhk_news,204245399,https://twitter.com/nhk_news
nprpolitics,5741722,https://twitter.com/nprpolitics
nytimes,807095,https://twitter.com/nytimes
nytscience_,268392524,https://twitter.com/nytscience_
politico,9300262,https://twitter.com/politico
sciam,14647570,https://twitter.com/sciam
scifri,16817883,https://twitter.com/scifri
timesofindia,134758540,https://twitter.com/timesofindia
washingtonpost,2467791,https://twitter.com/washingtonpost
WSJshutdown,28195764,https://twitter.com/WSJshutdown
weatherchannel,20998647,https://twitter.com/weatherchannel
the_hindu,20751449,https://twitter.com/the_hindu
aajtak,42606652,https://twitter.com/aajtak
DAILYITTEFAQ,950370805,https://twitter.com/DAILYITTEFAQ
NavbharatTimes,123171317,https://twitter.com/NavbharatTimes
JagranNews,64639742,https://twitter.com/JagranNews
lemondefr,24744541,https://twitter.com/lemondefr
Le_Figaro,8350912,https://twitter.com/Le_Figaro
MTPFirstRead,52419540,https://twitter.com/MTPFirstRead
BBCSport,265902729,https://twitter.com/BBCSport
AFP,380648579,https://twitter.com/AFP
AJABreaking,243368411,https://twitter.com/AJABreaking
CNNPolitics,13850422,https://twitter.com/CNNPolitics
IndianExpress,38647512,https://twitter.com/IndianExpress
FNInsiders,507731256,https://twitter.com/FNInsiders
CBSNewsEnt,146504742,https://twitter.com/CBSNewsEnt
ABC,28785486,https://twitter.com/ABC
HuffPostPol,15458694,https://twitter.com/HuffPostPol
washpostfashion,1382170926,https://twitter.com/washpostfashion
GolosAmeriki,18800449,https://twitter.com/GolosAmeriki
VOANews,16273831,https://twitter.com/VOANews
RFERL,42700240,https://twitter.com/RFERL
eaglebulletin,163587353,https://twitter.com/eaglebulletin
FRANCE24,1994321,https://twitter.com/FRANCE24
yesweekly,18921549,https://twitter.com/yesweekly
GreatNeckRecord,2218353349,https://twitter.com/GreatNeckRecord
MaconCountyNews,1372390200,https://twitter.com/MaconCountyNews
missoulian,16249481,https://twitter.com/missoulian
DailyMailUK,111556423,https://twitter.com/DailyMailUK
CI_Carmel,461404659,https://twitter.com/CI_Carmel
ChestertonTrib,1255082786,https://twitter.com/ChestertonTrib
therepublicnews,40665170,https://twitter.com/therepublicnews
courierpress,8685652,https://twitter.com/courierpress
corydondemocrat,21317486,https://twitter.com/corydondemocrat
CNewsExaminer,609142275,https://twitter.com/CNewsExaminer
NewsTelegraph,301547241,https://twitter.com/NewsTelegraph
hawaiistar,212350908,https://twitter.com/hawaiistar
MPNewstweets,236909902,https://twitter.com/MPNewstweets
ThePerryChief,3153282168,https://twitter.com/ThePerryChief
GrundyReg,77337860,https://twitter.com/GrundyReg
mdjonline,85329284,https://twitter.com/mdjonline
marshalltowntr,76508902,https://twitter.com/marshalltowntr
NevadaJournal,266237404,https://twitter.com/NevadaJournal
calmarcourier,2864361173,https://twitter.com/calmarcourier
CatoosaWalker,117447598,https://twitter.com/CatoosaWalker
CLReporter,480912897,https://twitter.com/CLReporter
newsrepublican,80951230,https://twitter.com/newsrepublican
NewtonDNews,719046103,https://twitter.com/NewtonDNews
